ID,Product Name,Product Description,Price,Availability,Color,Img Path,Product Link
WCWD23223,Belted Dress,Printed | Cotton Viscose,6490,In Stock,BLACK,images\WCWD23223,https://pk.khaadi.com/belted-dress-wcwd23223-1001777898.html
WCWT23216,Classic Button Down Shirt With Cuff Sleeves,Printed | Cotton Viscose,4690,In Stock,OFF-WHITE,images\WCWT23216,https://pk.khaadi.com/classic-button-down-shirt-with-cuff-sleeves-wcwt23216-1001777909.html
WCWB23218,Drop Shoulder Button Down Shirt,Dyed Embroidered | Cotton Stretch Poplin,4490,In Stock,WHITE,images\WCWB23218,https://pk.khaadi.com/drop-shoulder-button-down-shirt-wcwb23218-1001787850.html
WCWD23222,Raglan Dress,Dyed Embroidered | Cotton Cottel,5490,In Stock,BROWN,images\WCWD23222,https://pk.khaadi.com/raglan-dress-wcwd23222-1001777895.html
WSCD23233,V Neck Tunic,Dyed | Polyester Broshia,4190,In Stock,PINK,images\WSCD23233,https://pk.khaadi.com/v-neck-tunic-wscd23233-1001785463.html
WSCD23232,Button Down Shirt,Dyed | Polyester Broshia,4690,In Stock,PINK,images\WSCD23232,https://pk.khaadi.com/button-down-shirt-wscd23232-1001785475.html
WSCT23222B,V Neck Blouse,Printed | Textured Chiffon,4190,In Stock,BLACK,images\WSCT23222B,https://pk.khaadi.com/v-neck-blouse-wsct23222b-1001785467.html
WSCT23221,Button Down Shirt,Dyed | Ripple Polyester,4690,In Stock,L-GREEN,images\WSCT23221,https://pk.khaadi.com/button-down-shirt-wsct23221-1001785487.html
WSCT23220,Button Down Shirt,Dyed | Polyester Broshia,4690,In Stock,MAROON,images\WSCT23220,https://pk.khaadi.com/button-down-shirt-wsct23220-1001785483.html
WSCD23234,Button Down Shirt,Dyed | Ripple Polyester,4690,In Stock,MAROON,images\WSCD23234,https://pk.khaadi.com/button-down-shirt-wscd23234-1001785479.html
WSCD23231,Belted Oversized Blouse,Dyed | Pleated Georgette,4190,In Stock,BLUE,images\WSCD23231,https://pk.khaadi.com/belted-oversized-blouse-wscd23231-1001785461.html
WSCD23236,Raglan Blouse,Printed | Textured Chiffon,4190,In Stock,OFF-WHITE,images\WSCD23236,https://pk.khaadi.com/raglan-blouse-wscd23236-1001785457.html
WSCT23219,A-Line Dress,Dyed | Pleated Georgette,4490,In Stock,PINK,images\WSCT23219,https://pk.khaadi.com/a-line-dress-wsct23219-1001785451.html
WSCD23230,Belted Dress,Dyed | Pleated Georgette,5990,In Stock,YELLOW,images\WSCD23230,https://pk.khaadi.com/belted-dress-wscd23230-1001785441.html
WSCD23236D,Belted Raglan Dress,Printed | Textured Chiffon,7990,In Stock,OFF-WHITE,images\WSCD23236D,https://pk.khaadi.com/belted-raglan-dress-wscd23236d-1001785437.html
WSCT23222,Belted Dress,Printed | Textured Chiffon,7990,In Stock,BLACK,images\WSCT23222,https://pk.khaadi.com/belted-dress-wsct23222-1001785453.html
WCKT23238,Drop Shoulder T-shirt,Dyed Embroidered | Cotton Jersey,1790,In Stock,BLACK,images\WCKT23238,https://pk.khaadi.com/drop-shoulder-t-shirt-wckt23238-1001768999.html
WCKT23252,Drop Shoulder T-shirt,Printed | Cotton Jersey,1790,In Stock,WHITE,images\WCKT23252,https://pk.khaadi.com/drop-shoulder-t-shirt-wckt23252-1001769039.html
WCKT23239,Drop Shoulder T-shirt,Dyed Embroidered | VP Lycra Jersey,1790,In Stock,GREEN,images\WCKT23239,https://pk.khaadi.com/drop-shoulder-t-shirt-wckt23239-1001769003.html
WCKT23248,Round Neck T-shirt,Printed | Lycra Jersey,2190,In Stock,WHITE,images\WCKT23248,https://pk.khaadi.com/round-neck-t-shirt-wckt23248-1001769031.html
WCKB23218,Bootcut Pants,Dyed | Stretch French Terry,2590,In Stock,GREEN,images\WCKB23218,https://pk.khaadi.com/bootcut-pants-wckb23218-1001768984.html
WCKT23247,Round Neck T-shirt,Printed Embroidered | Lycra Jersey,1990,In Stock,GREY,images\WCKT23247,https://pk.khaadi.com/round-neck-t-shirt-wckt23247-1001769027.html
WCKT23244,Round Neck T-shirt,Printed | Lycra Jersey,1790,In Stock,WHITE,images\WCKT23244,https://pk.khaadi.com/round-neck-t-shirt-wckt23244-1001769015.html
WCKT23254,Tank Top,Dyed | Lycra Rib,1190,In Stock,BEIGE,images\WCKT23254,https://pk.khaadi.com/tank-top-wckt23254-1001769043.html
WCKT23243,Drop Shoulder T-shirt,Printed Embroidered | Single Jersey,2190,In Stock,BLUE,images\WCKT23243,https://pk.khaadi.com/drop-shoulder-t-shirt-wckt23243-1001769011.html
WCKT23245,Drop Shoulder T-shirt,Printed Embroidered | Lycra Jersey,2190,In Stock,BLACK,images\WCKT23245,https://pk.khaadi.com/drop-shoulder-t-shirt-wckt23245-1001769019.html
WCKB23220,Shalwar Pants,Dyed | Lycra Jersey,2390,In Stock,GREY,images\WCKB23220,https://pk.khaadi.com/shalwar-pants-wckb23220-1001768993.html
WCKB23219,Shalwar Pants,Dyed | Double Jersey,2390,In Stock,BLUE,images\WCKB23219,https://pk.khaadi.com/shalwar-pants-wckb23219-1001768988.html
